dataset,dp_type,epsilon,utility_model,attack_model,attack_accuracy
adult,algorithm,0.1,naive_bayes,logistic_regression,0.1321701826544602
adult,algorithm,0.5,naive_bayes,logistic_regression,0.019503781345362875
adult,algorithm,1.0,naive_bayes,logistic_regression,0.13798593604882578
adult,algorithm,10.0,naive_bayes,logistic_regression,0.07458759011100792
adult,algorithm,50.0,naive_bayes,logistic_regression,0.12600061916766175
adult,algorithm,100.0,naive_bayes,logistic_regression,0.07268586086418115
adult,data,0.1,naive_bayes,logistic_regression,0.028813409402503206
adult,data,0.5,naive_bayes,logistic_regression,0.028813409402503206
adult,data,1.0,naive_bayes,logistic_regression,0.028813409402503206
adult,data,10.0,naive_bayes,logistic_regression,0.028813409402503206
adult,data,50.0,naive_bayes,logistic_regression,0.24883906063420458
adult,data,100.0,naive_bayes,logistic_regression,0.43520852682322764
adult,none,,naive_bayes,logistic_regression,0.352770775286365
adult,output,0.1,naive_bayes,logistic_regression,0.8602671266197869
adult,output,0.5,naive_bayes,logistic_regression,0.26944849851842023
adult,output,1.0,naive_bayes,logistic_regression,0.10828800141524036
adult,output,10.0,naive_bayes,logistic_regression,0.3484808279156163
adult,output,50.0,naive_bayes,logistic_regression,0.352770775286365
adult,output,100.0,naive_bayes,logistic_regression,0.352770775286365
adult,algorithm,0.1,naive_bayes,naive_bayes,0.019769138914687543
adult,algorithm,0.5,naive_bayes,naive_bayes,0.017159789482995003
adult,algorithm,1.0,naive_bayes,naive_bayes,0.248595816195657
adult,algorithm,10.0,naive_bayes,naive_bayes,0.0859537393304144
adult,algorithm,50.0,naive_bayes,naive_bayes,0.06039096015213834
adult,algorithm,100.0,naive_bayes,naive_bayes,0.06255804696828977
adult,data,0.1,naive_bayes,naive_bayes,0.018022201583300163
adult,data,0.5,naive_bayes,naive_bayes,0.17464950687718367
adult,data,1.0,naive_bayes,naive_bayes,0.12540356463668126
adult,data,10.0,naive_bayes,naive_bayes,0.12540356463668126
adult,data,50.0,naive_bayes,naive_bayes,0.1937331387377825
adult,data,100.0,naive_bayes,naive_bayes,0.40062359028791295
adult,none,,naive_bayes,naive_bayes,0.35456193887930654
adult,output,0.1,naive_bayes,naive_bayes,0.022732298438812967
adult,output,0.5,naive_bayes,naive_bayes,0.1453274954668082
adult,output,1.0,naive_bayes,naive_bayes,0.1453274954668082
adult,output,10.0,naive_bayes,naive_bayes,0.3504046702932201
adult,output,50.0,naive_bayes,naive_bayes,0.35456193887930654
adult,output,100.0,naive_bayes,naive_bayes,0.35456193887930654
adult,algorithm,0.1,naive_bayes,random_forest,0.11248949626288089
adult,algorithm,0.5,naive_bayes,random_forest,0.048096059440095526
adult,algorithm,1.0,naive_bayes,random_forest,0.14433240458184068
adult,algorithm,10.0,naive_bayes,random_forest,0.07982840210517005
adult,algorithm,50.0,naive_bayes,random_forest,0.1371898633408518
adult,algorithm,100.0,naive_bayes,random_forest,0.19457343770731061
adult,data,0.1,naive_bayes,random_forest,0.08949184025474327
adult,data,0.5,naive_bayes,random_forest,0.15297863871566936
adult,data,1.0,naive_bayes,random_forest,0.13999823094953784
adult,data,10.0,naive_bayes,random_forest,0.13999823094953784
adult,data,50.0,naive_bayes,random_forest,0.2423378001857503
adult,data,100.0,naive_bayes,random_forest,0.40405112555835654
adult,none,,naive_bayes,random_forest,0.30821281677059836
adult,output,0.1,naive_bayes,random_forest,0.14002034408031488
adult,output,0.5,naive_bayes,random_forest,0.17878466233249304
adult,output,1.0,naive_bayes,random_forest,0.1006368581663792
adult,output,10.0,naive_bayes,random_forest,0.296868780681969
adult,output,50.0,naive_bayes,random_forest,0.30821281677059836
adult,output,100.0,naive_bayes,random_forest,0.30821281677059836
