age,workclass,occupation,race,sex,education,native-country,marital-status
26,Self-emp-inc,Tech-support,Other,Male,Some-college,United-States,Separated
30,Self-emp-inc,Craft-repair,Amer-Indian-Eskimo,Male,7th-8th,United-States,Divorced
56,Self-emp-inc,Protective-serv,Black,Male,Preschool,United-States,Married-civ-spouse
20,Self-emp-inc,Prof-specialty,Amer-Indian-Eskimo,Female,5th-6th,United-States,Married-civ-spouse
22,Self-emp-inc,Transport-moving,Amer-Indian-Eskimo,Male,7th-8th,United-States,Married-AF-spouse
50,Self-emp-not-inc,Farming-fishing,Asian-Pac-Islander,Female,Prof-school,United-States,Widowed
27,Self-emp-inc,Exec-managerial,White,Male,12th,United-States,Married-spouse-absent
38,Self-emp-not-inc,Handlers-cleaners,Asian-Pac-Islander,Male,Prof-school,United-States,Married-civ-spouse
65,Private,Prof-specialty,White,Male,Preschool,United-States,Married-AF-spouse
26,Self-emp-not-inc,Farming-fishing,Amer-Indian-Eskimo,Male,HS-grad,United-States,Married-civ-spouse
64,Federal-gov,Handlers-cleaners,Asian-Pac-Islander,Male,7th-8th,United-States,Never-married
45,State-gov,Priv-house-serv,Black,Female,1st-4th,United-States,Married-spouse-absent
60,Local-gov,Armed-Forces,Black,Male,Preschool,Italy,Separated
39,Local-gov,Machine-op-inspct,Black,Female,5th-6th,United-States,Married-civ-spouse
67,Self-emp-not-inc,Handlers-cleaners,Asian-Pac-Islander,Male,HS-grad,Peru,Divorced
47,Federal-gov,Armed-Forces,Asian-Pac-Islander,Male,Assoc-voc,United-States,Never-married
75,Federal-gov,Prof-specialty,Asian-Pac-Islander,Male,Masters,United-States,Married-AF-spouse
85,Private,Adm-clerical,Other,Male,HS-grad,United-States,Never-married
78,Local-gov,Adm-clerical,White,Female,9th,United-States,Widowed
35,State-gov,Other-service,Amer-Indian-Eskimo,Female,HS-grad,Portugal,Divorced
22,Without-pay,Transport-moving,Black,Female,Prof-school,United-States,Married-civ-spouse
27,Private,Farming-fishing,Amer-Indian-Eskimo,Male,7th-8th,United-States,Married-spouse-absent
87,State-gov,Other-service,White,Female,11th,Jamaica,Separated
82,Local-gov,Machine-op-inspct,Other,Male,10th,United-States,Divorced
75,Self-emp-inc,Prof-specialty,Asian-Pac-Islander,Female,Assoc-voc,United-States,Married-spouse-absent
58,Local-gov,Exec-managerial,Amer-Indian-Eskimo,Male,Assoc-voc,United-States,Married-spouse-absent
50,Federal-gov,Sales,White,Female,HS-grad,United-States,Separated
68,Private,Transport-moving,White,Male,12th,United-States,Married-civ-spouse
53,Local-gov,Armed-Forces,Amer-Indian-Eskimo,Female,Preschool,United-States,Separated
34,Self-emp-not-inc,Priv-house-serv,Asian-Pac-Islander,Male,Doctorate,United-States,Widowed
29,Private,Exec-managerial,Asian-Pac-Islander,Male,HS-grad,United-States,Widowed
73,Private,Craft-repair,Other,Female,Bachelors,Iran,Married-civ-spouse
65,State-gov,Adm-clerical,White,Male,11th,United-States,Married-civ-spouse
89,Without-pay,Prof-specialty,Asian-Pac-Islander,Female,Doctorate,United-States,Married-civ-spouse
50,Self-emp-not-inc,Farming-fishing,Asian-Pac-Islander,Female,Assoc-voc,United-States,Widowed
61,Private,Exec-managerial,Amer-Indian-Eskimo,Male,Masters,United-States,Separated
70,Self-emp-not-inc,Exec-managerial,Other,Male,5th-6th,United-States,Married-AF-spouse
51,Self-emp-inc,Prof-specialty,Other,Male,Doctorate,United-States,Divorced
61,State-gov,Exec-managerial,White,Male,Assoc-acdm,United-States,Married-AF-spouse
54,Self-emp-inc,Farming-fishing,Black,Male,12th,United-States,Married-civ-spouse
65,Federal-gov,Priv-house-serv,Other,Female,1st-4th,United-States,Never-married
66,Private,Transport-moving,Asian-Pac-Islander,Male,Assoc-acdm,El-Salvador,Separated
59,State-gov,Prof-specialty,Black,Female,7th-8th,United-States,Separated
53,Local-gov,Machine-op-inspct,Black,Male,Assoc-voc,United-States,Separated
32,Local-gov,Transport-moving,Other,Male,Assoc-acdm,United-States,Married-civ-spouse
33,Private,Machine-op-inspct,Black,Female,5th-6th,El-Salvador,Married-civ-spouse
50,Federal-gov,Armed-Forces,White,Female,7th-8th,United-States,Married-civ-spouse
53,Federal-gov,Machine-op-inspct,Asian-Pac-Islander,Male,5th-6th,United-States,Separated
36,Local-gov,Other-service,Black,Female,Bachelors,United-States,Never-married
30,Federal-gov,Tech-support,Amer-Indian-Eskimo,Male,12th,United-States,Married-spouse-absent
47,Private,Exec-managerial,Other,Female,Doctorate,United-States,Divorced
80,State-gov,Machine-op-inspct,Other,Female,10th,United-States,Never-married
45,Local-gov,Machine-op-inspct,Other,Female,Masters,United-States,Married-spouse-absent
39,Self-emp-inc,Transport-moving,Asian-Pac-Islander,Male,Assoc-acdm,United-States,Married-AF-spouse
17,Federal-gov,Armed-Forces,Amer-Indian-Eskimo,Female,HS-grad,United-States,Never-married
52,Local-gov,Armed-Forces,White,Male,11th,United-States,Never-married
78,Self-emp-inc,Protective-serv,Other,Male,Prof-school,United-States,Married-civ-spouse
