age,workclass,occupation,race,sex,education,native-country,marital-status,income
17,Self-emp-inc,Tech-support,Black,Male,7th-8th,Poland,Divorced,<=50K
17,Private,Machine-op-inspct,Asian-Pac-Islander,Female,12th,Cuba,Married-spouse-absent,>50K
17,Federal-gov,Farming-fishing,Asian-Pac-Islander,Female,9th,Philippines,Divorced,<=50K
17,State-gov,Sales,Other,Male,Prof-school,Japan,Married-civ-spouse,<=50K
17,Local-gov,Craft-repair,Other,Male,HS-grad,Poland,Divorced,<=50K
17,Private,Priv-house-serv,Black,Male,Bachelors,Columbia,Married-AF-spouse,>50K
90,Local-gov,Armed-Forces,Other,Male,Prof-school,Peru,Divorced,>50K
90,Self-emp-not-inc,Prof-specialty,Other,Male,10th,Vietnam,Never-married,>50K
90,Federal-gov,Tech-support,Other,Female,Some-college,Philippines,Separated,<=50K
90,Private,Craft-repair,Asian-Pac-Islander,Female,11th,Peru,Never-married,>50K
90,Federal-gov,Adm-clerical,Black,Male,1st-4th,Honduras,Married-AF-spouse,>50K
17,Self-emp-not-inc,Farming-fishing,Other,Male,12th,Columbia,Married-AF-spouse,<=50K
90,Private,Tech-support,White,Male,Bachelors,England,Married-AF-spouse,>50K
17,Without-pay,Other-service,White,Male,Masters,Philippines,Married-civ-spouse,>50K
90,Local-gov,Other-service,White,Male,7th-8th,Puerto-Rico,Married-AF-spouse,>50K
90,Without-pay,Transport-moving,Other,Female,11th,Ireland,Married-spouse-absent,<=50K
90,Self-emp-inc,Handlers-cleaners,Other,Male,Some-college,El-Salvador,Divorced,<=50K
90,Self-emp-inc,Handlers-cleaners,White,Male,7th-8th,Dominican-Republic,Divorced,>50K
90,Local-gov,Armed-Forces,Other,Male,Masters,Ecuador,Married-civ-spouse,<=50K
90,Federal-gov,Farming-fishing,Black,Male,Doctorate,Nicaragua,Married-AF-spouse,>50K
17,Private,Craft-repair,Black,Female,Bachelors,France,Divorced,<=50K
17,Self-emp-inc,Transport-moving,Asian-Pac-Islander,Female,10th,Haiti,Separated,<=50K
17,Private,Transport-moving,White,Male,HS-grad,Hungary,Separated,<=50K
90,Private,Sales,Other,Female,12th,Portugal,Married-civ-spouse,>50K
90,Private,Adm-clerical,Other,Female,Doctorate,Ecuador,Married-civ-spouse,<=50K
17,Without-pay,Craft-repair,Other,Female,Doctorate,Vietnam,Divorced,<=50K
17,Without-pay,Transport-moving,Asian-Pac-Islander,Female,10th,Trinadad&Tobago,Divorced,<=50K
90,Self-emp-not-inc,Craft-repair,Other,Male,11th,Greece,Separated,<=50K
90,Local-gov,Transport-moving,Amer-Indian-Eskimo,Female,Bachelors,Philippines,Separated,>50K
17,Self-emp-inc,Prof-specialty,Asian-Pac-Islander,Male,11th,Yugoslavia,Married-civ-spouse,<=50K
17,Federal-gov,Tech-support,Other,Female,10th,Nicaragua,Divorced,>50K
17,Private,Adm-clerical,Other,Female,11th,United-States,Divorced,>50K
90,State-gov,Other-service,Other,Male,7th-8th,Jamaica,Married-AF-spouse,<=50K
90,Local-gov,Armed-Forces,Amer-Indian-Eskimo,Female,5th-6th,Thailand,Married-spouse-absent,<=50K
68,Private,Exec-managerial,Other,Male,Preschool,Yugoslavia,Married-civ-spouse,>50K
90,Self-emp-not-inc,Priv-house-serv,Other,Female,Masters,Outlying-US(Guam-USVI-etc),Married-spouse-absent,>50K
90,Self-emp-not-inc,Exec-managerial,White,Male,Bachelors,Germany,Never-married,>50K
17,Self-emp-not-inc,Machine-op-inspct,Black,Female,9th,Thailand,Divorced,<=50K
90,State-gov,Protective-serv,White,Male,Some-college,Outlying-US(Guam-USVI-etc),Married-civ-spouse,<=50K
90,Self-emp-not-inc,Exec-managerial,Amer-Indian-Eskimo,Male,11th,Haiti,Married-AF-spouse,<=50K
17,Local-gov,Sales,Amer-Indian-Eskimo,Female,10th,Poland,Married-AF-spouse,>50K
17,Private,Farming-fishing,Black,Female,HS-grad,Japan,Divorced,<=50K
90,Private,Protective-serv,Asian-Pac-Islander,Male,Assoc-voc,Hungary,Widowed,>50K
90,Local-gov,Craft-repair,Asian-Pac-Islander,Male,11th,El-Salvador,Married-spouse-absent,<=50K
17,Without-pay,Armed-Forces,Black,Female,5th-6th,England,Married-civ-spouse,<=50K
17,Local-gov,Transport-moving,Other,Female,Bachelors,Haiti,Married-spouse-absent,>50K
17,Federal-gov,Priv-house-serv,Amer-Indian-Eskimo,Male,9th,Canada,Divorced,>50K
17,Federal-gov,Protective-serv,Asian-Pac-Islander,Male,10th,Nicaragua,Divorced,>50K
17,Self-emp-inc,Exec-managerial,Amer-Indian-Eskimo,Male,11th,United-States,Divorced,>50K
17,Private,Other-service,White,Female,Bachelors,Vietnam,Divorced,>50K
90,Without-pay,Protective-serv,Asian-Pac-Islander,Female,12th,Portugal,Divorced,<=50K
90,State-gov,Handlers-cleaners,Black,Male,Prof-school,Iran,Widowed,>50K
90,State-gov,Prof-specialty,Black,Female,Doctorate,Yugoslavia,Married-AF-spouse,<=50K
90,Self-emp-not-inc,Exec-managerial,Other,Male,HS-grad,Ireland,Married-AF-spouse,>50K
90,Federal-gov,Adm-clerical,Black,Male,Assoc-acdm,Mexico,Married-AF-spouse,<=50K
17,State-gov,Other-service,Other,Male,Assoc-acdm,Puerto-Rico,Never-married,<=50K
90,Local-gov,Prof-specialty,Asian-Pac-Islander,Male,10th,Scotland,Never-married,>50K
17,Local-gov,Machine-op-inspct,Other,Male,Doctorate,Philippines,Married-AF-spouse,<=50K
17,Federal-gov,Exec-managerial,Amer-Indian-Eskimo,Female,Doctorate,Trinadad&Tobago,Divorced,<=50K
90,Self-emp-not-inc,Transport-moving,Other,Male,Bachelors,Japan,Married-spouse-absent,>50K
17,Self-emp-inc,Prof-specialty,Black,Male,Assoc-acdm,Cuba,Married-spouse-absent,<=50K
90,Local-gov,Sales,White,Female,Doctorate,El-Salvador,Never-married,<=50K
90,Local-gov,Craft-repair,White,Female,Masters,Dominican-Republic,Married-civ-spouse,>50K
17,State-gov,Other-service,Other,Male,Prof-school,Iran,Divorced,<=50K
90,State-gov,Protective-serv,White,Male,Bachelors,Jamaica,Married-AF-spouse,>50K
90,Local-gov,Farming-fishing,Amer-Indian-Eskimo,Male,7th-8th,Japan,Married-AF-spouse,>50K
90,Private,Machine-op-inspct,Amer-Indian-Eskimo,Female,HS-grad,France,Married-civ-spouse,<=50K
17,Federal-gov,Armed-Forces,White,Female,10th,Laos,Married-civ-spouse,<=50K
17,Local-gov,Armed-Forces,White,Male,12th,England,Married-AF-spouse,<=50K
90,Federal-gov,Adm-clerical,Black,Male,7th-8th,Cambodia,Never-married,<=50K
17,Without-pay,Other-service,Amer-Indian-Eskimo,Female,Assoc-acdm,Canada,Separated,<=50K
90,Without-pay,Handlers-cleaners,White,Male,HS-grad,England,Separated,<=50K
17,State-gov,Transport-moving,Asian-Pac-Islander,Male,12th,Mexico,Separated,>50K
17,Local-gov,Sales,Asian-Pac-Islander,Female,Assoc-voc,China,Divorced,<=50K
90,Self-emp-inc,Prof-specialty,White,Male,10th,Ecuador,Divorced,<=50K
17,Self-emp-not-inc,Priv-house-serv,Amer-Indian-Eskimo,Male,HS-grad,Philippines,Separated,<=50K
17,Without-pay,Craft-repair,Amer-Indian-Eskimo,Male,11th,Philippines,Married-civ-spouse,<=50K
90,Local-gov,Handlers-cleaners,White,Female,11th,Jamaica,Married-civ-spouse,>50K
90,Local-gov,Machine-op-inspct,Black,Male,12th,Vietnam,Widowed,>50K
73,Self-emp-inc,Craft-repair,Other,Female,Prof-school,Cambodia,Married-AF-spouse,<=50K
