age,workclass,occupation,race,sex,education,native-country,marital-status,income
26,State-gov,Adm-clerical,White,Male,Bachelors,United-States,Never-married,<=50K
39,Self-emp-not-inc,Exec-managerial,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
61,Private,Tech-support,White,Male,HS-grad,United-States,Divorced,<=50K
80,Self-emp-not-inc,Prof-specialty,Black,Male,7th-8th,United-States,Married-civ-spouse,<=50K
17,Private,Prof-specialty,Black,Female,Bachelors,Italy,Married-civ-spouse,<=50K
40,Private,Exec-managerial,White,Female,Masters,United-States,Married-civ-spouse,<=50K
55,Private,Other-service,Black,Female,9th,Jamaica,Married-spouse-absent,<=50K
60,Self-emp-not-inc,Exec-managerial,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
17,Self-emp-not-inc,Prof-specialty,White,Female,Masters,United-States,Never-married,>50K
36,Private,Exec-managerial,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
39,Private,Exec-managerial,Black,Male,Some-college,United-States,Married-civ-spouse,>50K
30,State-gov,Prof-specialty,Asian-Pac-Islander,Male,Bachelors,Ecuador,Married-civ-spouse,>50K
17,Private,Adm-clerical,White,Female,Bachelors,United-States,Never-married,<=50K
31,Private,Sales,Black,Male,Assoc-acdm,United-States,Never-married,<=50K
43,Private,Transport-moving,Amer-Indian-Eskimo,Male,7th-8th,Mexico,Married-civ-spouse,<=50K
44,Without-pay,Farming-fishing,White,Male,HS-grad,United-States,Never-married,<=50K
24,Private,Priv-house-serv,White,Male,HS-grad,United-States,Never-married,<=50K
54,Private,Sales,White,Male,11th,United-States,Married-civ-spouse,<=50K
50,Self-emp-not-inc,Exec-managerial,White,Female,Masters,United-States,Divorced,>50K
42,Private,Prof-specialty,White,Male,Assoc-acdm,India,Married-civ-spouse,>50K
44,Without-pay,Other-service,Black,Female,HS-grad,United-States,Separated,<=50K
58,Federal-gov,Farming-fishing,Black,Male,9th,United-States,Married-civ-spouse,<=50K
29,Private,Transport-moving,White,Male,11th,Taiwan,Married-civ-spouse,<=50K
43,Private,Tech-support,White,Female,9th,United-States,Divorced,<=50K
82,Local-gov,Tech-support,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
77,Private,Craft-repair,White,Male,Doctorate,United-States,Never-married,<=50K
50,Private,Exec-managerial,White,Male,HS-grad,United-States,Divorced,<=50K
41,Private,Craft-repair,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
17,Local-gov,Protective-serv,White,Male,Assoc-acdm,United-States,Separated,<=50K
26,Private,Sales,Black,Male,Some-college,United-States,Never-married,<=50K
45,Private,Exec-managerial,White,Male,Bachelors,France,Divorced,<=50K
17,Federal-gov,Adm-clerical,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
17,State-gov,Other-service,Black,Male,Some-college,Thailand,Married-civ-spouse,<=50K
59,Private,Machine-op-inspct,White,Male,11th,Puerto-Rico,Never-married,<=50K
23,Private,Machine-op-inspct,White,Male,Some-college,Taiwan,Never-married,<=50K
17,Private,Adm-clerical,White,Female,HS-grad,United-States,Married-AF-spouse,<=50K
65,Self-emp-not-inc,Prof-specialty,White,Male,Assoc-acdm,United-States,Married-civ-spouse,<=50K
40,Private,Machine-op-inspct,White,Male,9th,United-States,Married-civ-spouse,<=50K
56,Self-emp-not-inc,Prof-specialty,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
17,Private,Tech-support,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
17,Private,Adm-clerical,White,Female,HS-grad,United-States,Separated,<=50K
37,Private,Handlers-cleaners,White,Male,HS-grad,United-States,Never-married,<=50K
57,Federal-gov,Prof-specialty,Black,Male,Bachelors,United-States,Married-civ-spouse,>50K
34,Private,Machine-op-inspct,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
35,Private,Exec-managerial,White,Female,Masters,United-States,Divorced,<=50K
28,State-gov,Craft-repair,White,Male,Assoc-voc,United-States,Married-civ-spouse,<=50K
31,Private,Prof-specialty,White,Male,Assoc-voc,United-States,Never-married,<=50K
49,Private,Exec-managerial,Other,Female,Some-college,United-States,Married-civ-spouse,<=50K
17,Private,Prof-specialty,White,Female,Prof-school,Ireland,Married-civ-spouse,>50K
85,Federal-gov,Exec-managerial,White,Male,Bachelors,United-States,Divorced,>50K
42,Self-emp-inc,Exec-managerial,White,Male,HS-grad,Cuba,Divorced,<=50K
52,Private,Tech-support,White,Male,Some-college,United-States,Married-civ-spouse,>50K
60,Private,Machine-op-inspct,White,Male,5th-6th,Mexico,Married-civ-spouse,<=50K
40,Private,Other-service,White,Male,Assoc-voc,Puerto-Rico,Married-civ-spouse,<=50K
30,Private,Adm-clerical,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
32,Private,Tech-support,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
56,Without-pay,Sales,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
33,Private,Transport-moving,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
46,Private,Prof-specialty,White,Male,1st-4th,United-States,Married-civ-spouse,>50K
55,Private,Tech-support,White,Male,Some-college,United-States,Divorced,<=50K
74,Private,Craft-repair,White,Male,5th-6th,United-States,Married-civ-spouse,<=50K
